original_gene_id	renamed_gene_id
mRNA_L-elsbetiae_contig16.4138.1	c_organisms_00347
prot_L-elsbetiae_contig16.4138.1	c_organisms_00348
mRNA_L-elsbetiae_contig16.4139.1	c_organisms_00349
prot_L-elsbetiae_contig16.4139.1	c_organisms_00350
mRNA_L-elsbetiae_contig16.4140.1	c_organisms_00351
prot_L-elsbetiae_contig16.4140.1	c_organisms_00352
mRNA_L-elsbetiae_contig17.4680.1	c_organisms_00353
prot_L-elsbetiae_contig17.4680.1	c_organisms_00354
mRNA_L-elsbetiae_contig17.4681.1	c_organisms_00355
prot_L-elsbetiae_contig17.4681.1	c_organisms_00356
mRNA_L-elsbetiae_contig17.4682.1	c_organisms_00357
prot_L-elsbetiae_contig17.4682.1	c_organisms_00358
mRNA_L-elsbetiae_contig17.4683.1	c_organisms_00359
prot_L-elsbetiae_contig17.4683.1	c_organisms_00360
mRNA_L-elsbetiae_contig17.4684.1	c_organisms_00361
prot_L-elsbetiae_contig17.4684.1	c_organisms_00362
mRNA_L-elsbetiae_contig18.5150.1	c_organisms_00363
prot_L-elsbetiae_contig18.5150.1	c_organisms_00364
mRNA_L-elsbetiae_contig18.5151.1	c_organisms_00365
prot_L-elsbetiae_contig18.5151.1	c_organisms_00366
mRNA_L-elsbetiae_contig18.5152.1	c_organisms_00367
prot_L-elsbetiae_contig18.5152.1	c_organisms_00368
mRNA_L-elsbetiae_contig18.5153.1	c_organisms_00369
prot_L-elsbetiae_contig18.5153.1	c_organisms_00370
mRNA_L-elsbetiae_contig18.5154.1	c_organisms_00371
prot_L-elsbetiae_contig18.5154.1	c_organisms_00372
mRNA_L-elsbetiae_contig18.5155.1	c_organisms_00373
prot_L-elsbetiae_contig18.5155.1	c_organisms_00374
mRNA_L-elsbetiae_contig18.5156.1	c_organisms_00375
prot_L-elsbetiae_contig18.5156.1	c_organisms_00376
mRNA_L-elsbetiae_contig19.5583.1	c_organisms_00377
prot_L-elsbetiae_contig19.5583.1	c_organisms_00378
mRNA_L-elsbetiae_contig19.5584.1	c_organisms_00379
prot_L-elsbetiae_contig19.5584.1	c_organisms_00380
mRNA_L-elsbetiae_contig19.5585.1	c_organisms_00381
prot_L-elsbetiae_contig19.5585.1	c_organisms_00382
mRNA_L-elsbetiae_contig19.5586.1	c_organisms_00383
prot_L-elsbetiae_contig19.5586.1	c_organisms_00384
mRNA_L-elsbetiae_contig19.5587.1	c_organisms_00385
prot_L-elsbetiae_contig19.5587.1	c_organisms_00386
mRNA_L-elsbetiae_contig19.5588.1	c_organisms_00387
prot_L-elsbetiae_contig19.5588.1	c_organisms_00388
mRNA_L-elsbetiae_contig20.6009.1	c_organisms_00389
prot_L-elsbetiae_contig20.6009.1	c_organisms_00390
